item,threshold,estimate,std_error,z
accurate,1|2,-2.09331615478056,0.214096294810059,-9.77745157447817
accurate,2|3,-1.53104958379785,0.19778273405343,-7.74106795077594
accurate,3|4,-0.560275377375486,0.185894783373695,-3.01393813859312
accurate,4|5,0.58930189836507,0.185343005777707,3.17952056454644
clear.direction,1|2,-1.06281325683586,0.20343153294493,-5.22442731198199
clear.direction,2|3,-0.21815845582231,0.19649910737944,-1.11022619253453
clear.direction,3|4,0.513076430177249,0.198761758856713,2.58136390585639
clear.direction,4|5,1.75936590851669,0.210994158007175,8.33845792288177
criteria.based,1|2,-0.674318617563018,0.182377100719893,-3.6973864311983
criteria.based,2|3,0.158370439850424,0.179090366702595,0.884304626576707
criteria.based,3|4,0.854125704319948,0.185430573784984,4.6061751678035
criteria.based,4|5,2.20521621263179,0.206033521265284,10.7031913986093
prioritization,1|2,-1.59606210916096,0.193420153236149,-8.25178805029849
prioritization,2|3,-1.05599827073509,0.183160728139721,-5.76541861053062
prioritization,3|4,-0.113107386774794,0.177353388973485,-0.637751482672284
prioritization,4|5,1.17176798937481,0.184164827639741,6.36260465362581
supportive,1|2,-3.22180136745454,0.293379621093185,-10.981680852438
supportive,2|3,-2.32269286761147,0.233710234472736,-9.93834468931838
supportive,3|4,-1.45978177278687,0.207341474967835,-7.04047163266939
supportive,4|5,-0.339338938819433,0.196416120131343,-1.72765320174596
