record_id,person,mean_score
1,ai,4.6
1,supervisor,4.1
2,ai,4.9
2,supervisor,1.9
3,ai,5
3,supervisor,5
4,ai,4.3
4,supervisor,4.8
5,ai,4.5
5,supervisor,4.7
6,ai,4.4
6,supervisor,4.6
7,ai,4.5
7,supervisor,4.2
8,ai,4.7
8,supervisor,4.7
9,ai,4.9
9,supervisor,2.8
10,ai,5
10,supervisor,2.7
11,ai,4.7
11,supervisor,1.6
12,ai,5
12,supervisor,5
13,ai,4.8
13,supervisor,4.8
14,ai,4.7
14,supervisor,3.7
15,ai,4.8
15,supervisor,4.2
16,ai,4.7
16,supervisor,5
17,ai,4.7
17,supervisor,4.5
18,ai,3.4
18,supervisor,4.3
19,ai,3.7
19,supervisor,5
20,ai,4.1
20,supervisor,2.9
21,ai,4.3
21,supervisor,3.8
22,ai,3.9
22,supervisor,2.6
23,ai,3.9
23,supervisor,3.7
24,ai,3.7
24,supervisor,4.5
25,ai,4.3
25,supervisor,4.4
26,ai,3.8
26,supervisor,3.5
27,ai,3.8
27,supervisor,4
28,ai,3.6
28,supervisor,2.8
29,ai,3.9
29,supervisor,4.3
30,ai,3.7
30,supervisor,2.9
31,ai,3.9
31,supervisor,3.7
32,ai,3.9
32,supervisor,3.9
33,ai,4
33,supervisor,2.2
34,ai,4.2
34,supervisor,4
35,ai,4.5
35,supervisor,3
36,ai,4.1
36,supervisor,3.5
37,ai,4.2
37,supervisor,2.5
38,ai,4.8
38,supervisor,2.7
39,ai,4.4
39,supervisor,3.9
40,ai,4.6
40,supervisor,3.9
41,ai,4.5
41,supervisor,3.1
42,ai,4.1
42,supervisor,1.9
43,ai,4.5
43,supervisor,4
44,ai,4.2
44,supervisor,1.9
45,ai,4.8
45,supervisor,2.9
46,ai,4.4
46,supervisor,3.5
47,ai,4.5
47,supervisor,3.3
48,ai,4.5
48,supervisor,2.2
49,ai,4.5
49,supervisor,2.3
50,ai,4.2
50,supervisor,1.9
51,ai,4.5
51,supervisor,3.7
52,ai,4.8
52,supervisor,2.8
53,ai,4.4
53,supervisor,1.5
54,ai,4.4
54,supervisor,1.3
55,ai,4.4
55,supervisor,1
56,ai,4.8
56,supervisor,3.7
57,ai,4.7
57,supervisor,2.4
58,ai,4.1
58,supervisor,4.5
59,ai,4
59,supervisor,3.1
60,ai,4.7
60,supervisor,2.6
61,ai,4.6
61,supervisor,4.5
62,ai,4.7
62,supervisor,3.7
63,ai,4.8
63,supervisor,3.4
64,ai,4.3
64,supervisor,4.4
65,ai,3.7
65,supervisor,4.3
67,ai,4.1
67,supervisor,4.6
68,ai,3.9
68,supervisor,4.6
69,ai,4.5
69,supervisor,2.4
70,ai,4.5
70,supervisor,2.3
71,ai,3.8
71,supervisor,4.7
72,ai,4.4
72,supervisor,2.5
73,ai,4.8
73,supervisor,3.8
74,ai,4.7
74,supervisor,2.2
75,ai,4.8
75,supervisor,4.4
76,ai,4.8
76,supervisor,3.6
77,ai,4.7
77,supervisor,2
78,ai,5
78,supervisor,2.8
79,ai,4.9
79,supervisor,4.9
80,ai,5
80,supervisor,4.3
81,ai,4.9
81,supervisor,3.6
82,ai,5
82,supervisor,3.5
83,ai,5
83,supervisor,2.8
84,ai,4.9
84,supervisor,4.9
85,ai,4.2
85,supervisor,3.8
86,ai,4.1
86,supervisor,3.7
87,ai,4.6
87,supervisor,4.5
88,ai,4.1
88,supervisor,4.7
89,ai,4.6
89,supervisor,4.3
90,ai,4.7
90,supervisor,1.8
91,ai,4.3
91,supervisor,4.5
92,ai,4.3
92,supervisor,3.3
93,ai,4.4
93,supervisor,4.9
94,ai,4.6
94,supervisor,1.4
95,ai,4.6
95,supervisor,4.5
96,ai,4.8
96,supervisor,1.4
97,ai,4.2
97,supervisor,4.5
98,ai,4.1
98,supervisor,4.2
99,ai,3.7
99,supervisor,2.9
100,ai,4
100,supervisor,3.7
101,ai,3.9
101,supervisor,3
102,ai,4.1
102,supervisor,2.1
103,ai,3.5
103,supervisor,2.9
104,ai,2.8
104,supervisor,1.7
105,ai,3.3
105,supervisor,3.1
107,ai,3.3
107,supervisor,3.5
108,ai,3.2
108,supervisor,3.9
109,ai,3.2
109,supervisor,2.8
110,ai,3.4
110,supervisor,3.2
111,ai,2.7
111,supervisor,4.2
112,ai,2.3
112,supervisor,3.3
113,ai,3.7
113,supervisor,3.5
114,ai,3.2
114,supervisor,3.9
115,ai,3.8
115,supervisor,2.5
116,ai,4.1
116,supervisor,3.6
117,ai,4.7
117,supervisor,3
118,ai,4
118,supervisor,4.3
119,ai,4.8
119,supervisor,2.9
120,ai,4.6
120,supervisor,3.5
121,ai,4.7
121,supervisor,4.1
122,ai,4.8
122,supervisor,2.2
123,ai,4
123,supervisor,4.1
124,ai,4.9
124,supervisor,3.9
125,ai,4.7
125,supervisor,4.8
126,ai,4.7
126,supervisor,2.8
127,ai,4.9
127,supervisor,4.8
128,ai,5
128,supervisor,2
129,ai,4.8
129,supervisor,1.7
130,ai,4.8
130,supervisor,1.7
131,ai,4.9
131,supervisor,1.5
132,ai,4.9
132,supervisor,4.5
133,ai,4.2
133,supervisor,3
134,ai,4.6
134,supervisor,3
135,ai,4.5
135,supervisor,4.3
136,ai,4.3
136,supervisor,4.4
137,ai,4.3
137,supervisor,4.4
138,ai,3.3
138,supervisor,4.2
139,ai,3
139,supervisor,4.1
140,ai,3.8
140,supervisor,3.5
141,ai,4.1
141,supervisor,4.2
142,ai,4.3
142,supervisor,4.7
143,ai,4.2
143,supervisor,2.1
144,ai,4.3
144,supervisor,3.5
145,ai,4.3
145,supervisor,2.4
146,ai,3.8
146,supervisor,2.1
147,ai,4.2
147,supervisor,1.8
148,ai,4.4
148,supervisor,2.1
149,ai,4.7
149,supervisor,3.2
150,ai,4.2
150,supervisor,4.7
151,ai,4.9
151,supervisor,2
152,ai,4.8
152,supervisor,4.7
153,ai,4.4
153,supervisor,3.6
154,ai,4.7
154,supervisor,3.6
155,ai,4.5
155,supervisor,4.7
157,ai,4.4
157,supervisor,3.8
158,ai,4.2
158,supervisor,3.7
159,ai,4
159,supervisor,4.5
160,ai,4.5
160,supervisor,3.8
161,ai,3.9
161,supervisor,4
162,ai,4.8
162,supervisor,3.2
163,ai,4.1
163,supervisor,3
164,ai,4.4
164,supervisor,2.6
