item,term,estimate,std_error,z,p_value,OR,OR_low,OR_high,bonferroni_p,p_fmt,bonferroni_p_fmt
accurate,personai,0.298076481658655,0.202826321852125,1.46961439194255,0.141666220177328,1.34726482498774,0.90532334738081,2.00494388430452,1,0.142,1.000
accurate,assessor_typestudent,0.573680311979603,0.217522901297723,2.63733293624292,0.00835607740052456,1.77478681587083,1.15874256958364,2.71835032600962,0.125341161007868,0.008,0.125
accurate,personai:assessor_typestudent,-0.016541982047828,0.297691595411952,-0.0555675145109047,0.95568634416751,0.983594085229942,0.54880202700489,1.76285304516688,1,0.956,1.000
clear.direction,personai,1.88913658475826,0.213995450788825,8.82792871434682,1.06631980300241e-18,6.61365588384616,4.34795448517074,10.0600050665469,1.59947970450361e-17,<0.001,<0.001
clear.direction,assessor_typestudent,0.315912908317409,0.203266247588949,1.55418281227022,0.120140816139092,1.37151080324092,0.920821624889749,2.04278639050399,1,0.120,1.000
clear.direction,personai:assessor_typestudent,0.0829717412812053,0.297674235239183,0.278733365064454,0.780449455235498,1.08651110470264,0.606245802911132,1.94724050042652,1,0.780,1.000
criteria.based,personai,2.46922625017711,0.222402905018071,11.1024909947848,1.21995543892093e-28,11.8133027735593,7.63938082725863,18.2677268715066,1.8299331583814e-27,<0.001,<0.001
criteria.based,assessor_typestudent,0.470610521745349,0.205220050989427,2.29319951669632,0.0218365209693424,1.6009713227138,1.07077129131812,2.39370367597062,0.327547814540136,0.022,0.328
criteria.based,personai:assessor_typestudent,-0.122245619278802,0.299969289669948,-0.40752711523672,0.683620883174821,0.88493098569652,0.491553041788303,1.59311973047066,1,0.684,1.000
prioritization,personai,0.531855277221699,0.195494613501836,2.72056230959378,0.00651709882869088,1.70208722474901,1.16030840337176,2.49683697216623,0.0977564824303632,0.007,0.098
prioritization,assessor_typestudent,0.225420733828182,0.209259818018023,1.07722894898421,0.281377995316202,1.25284972157909,0.831329951412302,1.88809800752907,1,0.281,1.000
prioritization,personai:assessor_typestudent,0.482322720313469,0.290939844834634,1.65780909310519,0.0973560053730023,1.61983245379678,0.915834712405415,2.86498987517278,1,0.097,1.000
supportive,personai,0.290493492670512,0.221357485395206,1.31232739725007,0.189409691930294,1.3370871679557,0.866435873680534,2.06339805289616,1,0.189,1.000
supportive,assessor_typestudent,0.450234489470699,0.235166910440015,1.91453163469417,0.055552261018445,1.56867998130487,0.989364308233503,2.48721008355386,0.833283915276675,0.056,0.833
supportive,personai:assessor_typestudent,0.177991741366179,0.342316146660351,0.519963031550433,0.603089341797355,1.19481545365074,0.610823088401228,2.33714801452445,1,0.603,1.000
