Item,Effect,Odds Ratio (95% CI),p-value
accurate,Provider: AI (vs supervisor),1.35 (0.91–2.00),0.142
accurate,Assessor type: student (vs faculty),1.77 (1.16–2.72),0.008
accurate,Interaction: supervisor × student,0.98 (0.55–1.76),0.956
clear.direction,Provider: AI (vs supervisor),6.61 (4.35–10.06),<0.001
clear.direction,Assessor type: student (vs faculty),1.37 (0.92–2.04),0.120
clear.direction,Interaction: supervisor × student,1.09 (0.61–1.95),0.780
criteria.based,Provider: AI (vs supervisor),11.81 (7.64–18.27),<0.001
criteria.based,Assessor type: student (vs faculty),1.60 (1.07–2.39),0.022
criteria.based,Interaction: supervisor × student,0.88 (0.49–1.59),0.684
prioritization,Provider: AI (vs supervisor),1.70 (1.16–2.50),0.007
prioritization,Assessor type: student (vs faculty),1.25 (0.83–1.89),0.281
prioritization,Interaction: supervisor × student,1.62 (0.92–2.86),0.097
supportive,Provider: AI (vs supervisor),1.34 (0.87–2.06),0.189
supportive,Assessor type: student (vs faculty),1.57 (0.99–2.49),0.056
supportive,Interaction: supervisor × student,1.19 (0.61–2.34),0.603
