item,threshold,estimate,std_error,z
accurate,1|2,-2.09331618736499,0.214096391569133,-9.77744730783586
accurate,2|3,-1.53104961895093,0.197782828274685,-7.74106444076419
accurate,3|4,-0.56027540761716,0.185894866159881,-3.0139369590513
accurate,4|5,0.589301866004324,0.18534308782156,3.17951898250274
clear.direction,1|2,-1.06281316102049,0.203431546126288,-5.22442650246933
clear.direction,2|3,-0.218159179607676,0.196499117674737,-1.11022981776841
clear.direction,3|4,0.513075680401074,0.198761736153577,2.58136042847118
clear.direction,4|5,1.75936544918192,0.210994097097787,8.33845815300951
criteria.based,1|2,-0.674320983701062,0.182377517629088,-3.69739095293791
criteria.based,2|3,0.158362318482808,0.179090605915331,0.884258097589312
criteria.based,3|4,0.854122041479096,0.185430685439553,4.60615264110385
criteria.based,4|5,2.20522185285314,0.206033601408179,10.7032146105349
prioritization,1|2,-1.59606203995054,0.193420309040068,-8.25178104549458
prioritization,2|3,-1.05599840209793,0.183160905563005,-5.76541374291623
prioritization,3|4,-0.113107697576131,0.177353579267964,-0.637752550825244
prioritization,4|5,1.17176799215791,0.184165016889052,6.36259813047898
supportive,1|2,-3.22179993307156,0.293380292088984,-10.9816508468618
supportive,2|3,-2.3226921514833,0.233710886702299,-9.93831388968175
supportive,3|4,-1.45978105806238,0.20734213702209,-7.04044570499851
supportive,4|5,-0.33933858098165,0.196416741338506,-1.7276459158684
