person,item,cor,p_value,n_tests,bonferroni_p,bonferroni_p_fmt
ai,accurate,0.0436332853649638,0.435215441901979,10,1,1.000
ai,clear.direction,-0.00368458713190514,0.947488770488988,10,1,1.000
ai,criteria.based,0.0799958498324916,0.152090059299585,10,1,1.000
ai,prioritization,-0.0158078114390627,0.777502223300105,10,1,1.000
ai,supportive,0.000654445323237071,0.990666613106963,10,1,1.000
supervisor,accurate,0.499961865703998,9.1089117200169e-22,10,9.1089117200169e-21,<0.001
supervisor,clear.direction,0.628336663035116,8.94988626721561e-37,10,8.94988626721561e-36,<0.001
supervisor,criteria.based,0.597126722390756,1.70534559220087e-32,10,1.70534559220087e-31,<0.001
supervisor,prioritization,0.58171103758459,1.5076066619164e-30,10,1.5076066619164e-29,<0.001
supervisor,supportive,0.304807621260945,2.38198424514068e-08,10,2.38198424514068e-07,<0.001
