person,item,n,spearman_rho,p_value,n_tests,bonferroni_p
ai,accurate,322,0.0872134870536429,0.118315954172198,10,1
ai,clear.direction,322,-0.0914188546663582,0.101525273987686,10,1
ai,criteria.based,322,-0.0580935555877656,0.29867662710628,10,1
ai,prioritization,322,-0.0544920118593362,0.329686315833282,10,1
ai,supportive,322,0.0991942262223756,0.07549578216427,10,0.7549578216427
supervisor,accurate,322,0.11637305474094,0.0368686718935894,10,0.368686718935894
supervisor,clear.direction,322,0.137289007188959,0.0136757847965697,10,0.136757847965697
supervisor,criteria.based,322,0.131052037724407,0.0186399421794554,10,0.186399421794554
supervisor,prioritization,322,0.0477618484628682,0.392988479780126,10,1
supervisor,supportive,322,0.0136113174413821,0.807766984101901,10,1
