person,item,n,shapiro_w,shapiro_p,n_tests,bonferroni_p
ai,accurate,322,0.788876512142988,4.01586959655834e-20,12,4.81904351587e-19
ai,clear.direction,322,0.715782885266091,4.9502224568403e-23,12,5.94026694820836e-22
ai,criteria.based,322,0.695993189902192,1.01551975548298e-23,12,1.21862370657958e-22
ai,prioritization,322,0.829681968643499,3.75349928813298e-18,12,4.50419914575958e-17
ai,supportive,322,0.596249495234368,9.72426571054081e-27,12,1.1669118852649e-25
supervisor,accurate,322,0.767963102214746,5.03908893364866e-21,12,6.04690672037839e-20
supervisor,clear.direction,322,0.859255127326739,1.70750324867669e-16,12,2.04900389841203e-15
supervisor,criteria.based,322,0.851385526123725,5.86431604083369e-17,12,7.03717924900043e-16
supervisor,prioritization,322,0.828292202858614,3.17591567030967e-18,12,3.81109880437161e-17
supervisor,supportive,322,0.655101714134816,4.87268257443826e-25,12,5.84721908932591e-24
ai,feedback_length,161,0.983065003284943,0.0463176638368281,12,0.555811966041937
supervisor,feedback_length,161,0.86851089666036,1.11037442510424e-10,12,1.33244931012509e-09
